semana,fase,dia,canal,formato,pilar,titulo_o_gancho,objetivo,cta,utm_content,estado
1,Preparación,Lunes,Interno,Producción,Base comercial,Completar perfiles enlaces y respuestas rápidas,Preparación,Revisar checklist,setup_perfiles,Pendiente
1,Preparación,Miércoles,Interno,Producción,Casos reales,Entrevistar y solicitar autorización al caso 1,Prueba,Completar autorización,setup_caso_1,Pendiente
1,Preparación,Viernes,Interno,Producción,Casos reales,Entrevistar y solicitar autorización al caso 2,Prueba,Completar autorización,setup_caso_2,Pendiente
1,Preparación,Sábado,Instagram y Facebook,Historias,Construcción pública,Estamos preparando una forma más clara de atender consultas,Expectativa,Seguir la cuenta,stories_preparacion,Pendiente
2,Confianza orgánica,Lunes,Instagram Facebook TikTok,Reel,Dolores,Tu clínica puede estar cerrada. Tu presencia no,Identificación,Solicitar lugar,p01_manifiesto,Pendiente
2,Confianza orgánica,Martes,Instagram y Facebook,Historias,Dolores,¿Qué pregunta repite más tu recepción?,Investigación,Responder encuesta,stories_pregunta_repetida,Pendiente
2,Confianza orgánica,Miércoles,Instagram Facebook TikTok,Reel,Dolores,Tres consultas que una clínica no debería responder manualmente cada día,Identificación,Solicitar lugar,p02_consultas_repetidas,Pendiente
2,Confianza orgánica,Jueves,Instagram,Historias,Construcción pública,Así organizamos la información aprobada de una clínica,Confianza,Ver el proceso,stories_info_aprobada,Pendiente
2,Confianza orgánica,Viernes,Instagram y Facebook,Carrusel,Educación,Instagram muestra actividad. Una web organiza la decisión,Autoridad,Solicitar lugar,p03_instagram_vs_web,Pendiente
2,Confianza orgánica,Sábado,Instagram y Facebook,Historias,Oferta,Qué reciben los siete fundadores,Conversión,Solicitar lugar,stories_fundadores_1,Pendiente
3,Confianza orgánica,Lunes,Instagram y Facebook,Carrusel,Casos reales,Caso real 1: situación implementación y cambio observado,Prueba,Solicitar lugar,p04_caso_real_1,Pendiente
3,Confianza orgánica,Martes,Instagram y Facebook,Historias,Casos reales,Un detalle verificable del caso 1,Confianza,Ver el caso,stories_caso_1,Pendiente
3,Confianza orgánica,Miércoles,Instagram Facebook TikTok,Reel,Demostraciones,Así responde un agente una consulta aprobada fuera de horario,Consideración,Solicitar lugar,p05_demo_agente,Pendiente
3,Confianza orgánica,Jueves,Instagram,Historias,Construcción pública,Qué revisamos antes de activar un agente,Confianza,Hacer una pregunta,stories_revision_agente,Pendiente
3,Confianza orgánica,Viernes,Instagram Facebook TikTok,Reel,Construcción pública,El fundador explica el proceso de diagnóstico a implementación,Confianza,Solicitar lugar,p06_proceso_fundador,Pendiente
3,Confianza orgánica,Sábado,Instagram y Facebook,Carrusel,Casos reales,Caso real 2: situación implementación y cambio observado,Prueba,Solicitar lugar,p07_caso_real_2,Pendiente
3,Confianza orgánica,Domingo,Instagram y Facebook,Carrusel,Educación,Web agente y automatización: qué resuelve cada pieza,Autoridad,Solicitar lugar,p08_tres_servicios,Pendiente
